,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility,b,l,d,gal_inwards,gal_eastwards,gal_upwards,colorbin
41,HD 39091,b,HD 39091 b,Radial Velocity,0.0,2.0,2093.07,1.73,-1.73,0.0,4.0,3.1,0.02,-0.02,0.0,4.0,0.637,0.002,-0.002,0.0,4.0,,,,0.0,0.0,10.02,0.15,-0.15,0.0,4.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,05h37m09.89s,-80d28m08.8s,84.291214,1e-06,-80.469124,1e-06,4.0,18.28,0.02,-0.02,0.0,4.0,5.67,,0.0,V (Johnson),5.491,,0.0,6037.0,45.0,-45.0,0.0,10.0,1.09,0.04,-0.04,0.0,9.0,1.1,0.02,-0.02,0.0,5.0,0.0,2018-11-15,Anglo-Australian Telescope,-29.776315617188743,292.51350196513556,18.279999999999998,6.07530337495367,-14.65730932113142,-9.078126038282926,4
42,HD 40307,b,HD 40307 b,Radial Velocity,0.0,5.0,4.3123,0.0011,-0.0012,0.0,3.0,0.0468,0.0024,-0.0023,0.0,3.0,0.2,0.14,-0.16,0.0,3.0,,,,,0.0,0.0126,0.0025,-0.0022,0.0,3.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,05h54m04.24s,-60d01m24.5s,88.51767,1e-06,-60.023472,1e-06,3.0,12.94,0.0,-0.0,0.0,4.0,7.17,,0.0,V (Johnson),6.844,,0.0,4956.0,50.0,-50.0,0.0,9.0,0.77,0.05,-0.05,0.0,6.0,0.8007871884771605,,,,4.0,0.0,2014-05-14,La Silla Observatory,-30.34040822665508,268.814265067543,12.939999999999998,-0.23109946414151583,-11.165339932771584,-6.536465193308208,3
43,HD 40307,c,HD 40307 c,Radial Velocity,0.0,5.0,9.6184,0.005,-0.0049,0.0,3.0,0.0799,0.004,-0.004,0.0,3.0,0.06,0.11,-0.06,0.0,3.0,,,,,0.0,0.0208,0.0035,-0.0031,0.0,3.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,05h54m04.24s,-60d01m24.5s,88.51767,1e-06,-60.023472,1e-06,3.0,12.94,0.0,-0.0,0.0,4.0,7.17,,0.0,V (Johnson),6.844,,0.0,4956.0,50.0,-50.0,0.0,9.0,0.77,0.05,-0.05,0.0,6.0,0.8007871884771605,,,,4.0,0.0,2014-05-14,La Silla Observatory,-30.34040822665508,268.814265067543,12.939999999999998,-0.23109946414151583,-11.165339932771584,-6.536465193308208,3
44,HD 40307,d,HD 40307 d,Radial Velocity,0.0,5.0,20.432,0.022,-0.024,0.0,3.0,0.1321,0.0066,-0.0066,0.0,3.0,0.07,0.11,-0.07,0.0,3.0,,,,,0.0,0.0299,0.0053,-0.0047,0.0,3.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,05h54m04.24s,-60d01m24.5s,88.51767,1e-06,-60.023472,1e-06,3.0,12.94,0.0,-0.0,0.0,4.0,7.17,,0.0,V (Johnson),6.844,,0.0,4956.0,50.0,-50.0,0.0,9.0,0.77,0.05,-0.05,0.0,6.0,0.8007871884771605,,,,4.0,0.0,2014-05-14,La Silla Observatory,-30.34040822665508,268.814265067543,12.939999999999998,-0.23109946414151583,-11.165339932771584,-6.536465193308208,3
45,HD 40307,f,HD 40307 f,Radial Velocity,0.0,5.0,51.76,0.5,-0.46,0.0,3.0,0.247,0.011,-0.014,0.0,3.0,0.02,0.2,-0.02,0.0,3.0,,,,,0.0,0.0164,0.0047,-0.005,0.0,3.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,05h54m04.24s,-60d01m24.5s,88.51767,1e-06,-60.023472,1e-06,3.0,12.94,0.0,-0.0,0.0,4.0,7.17,,0.0,V (Johnson),6.844,,0.0,4956.0,50.0,-50.0,0.0,9.0,0.77,0.05,-0.05,0.0,6.0,0.8007871884771605,,,,4.0,0.0,2014-05-14,La Silla Observatory,-30.34040822665508,268.814265067543,12.939999999999998,-0.23109946414151583,-11.165339932771584,-6.536465193308208,3
46,HD 40307,g,HD 40307 g,Radial Velocity,1.0,5.0,197.8,5.7,-9.0,0.0,2.0,0.6,0.034,-0.033,0.0,2.0,0.29,0.31,-0.29,0.0,2.0,,,,,0.0,0.0223,0.0082,-0.0082,0.0,2.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,05h54m04.24s,-60d01m24.5s,88.51767,1e-06,-60.023472,1e-06,3.0,12.94,0.0,-0.0,0.0,4.0,7.17,,0.0,V (Johnson),6.844,,0.0,4956.0,50.0,-50.0,0.0,9.0,0.77,0.05,-0.05,0.0,6.0,0.8007871884771605,,,,4.0,2.0,2014-05-14,La Silla Observatory,-30.34040822665508,268.814265067543,12.939999999999998,-0.23109946414151583,-11.165339932771584,-6.536465193308208,3
62,HD 147513,b,HD 147513 b,Radial Velocity,0.0,1.0,528.4,6.3,-6.3,0.0,1.0,1.32,,,0.0,1.0,0.26,0.05,-0.05,0.0,1.0,,,,0.0,0.0,1.21,,,0.0,1.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,16h24m01.29s,-39d11m34.7s,246.005371,2e-06,-39.192982,2e-06,3.0,12.91,0.02,-0.02,0.0,5.0,5.39,,0.0,V (Johnson),5.194,,0.0,5883.0,,,0.0,8.0,1.11,,,0.0,7.0,1.092759352083354,,,,4.0,0.0,2019-01-31,La Silla Observatory,7.212645954387108,341.6208653649088,12.91,12.154526773193327,-4.038357382854871,1.6208789492334557,4
71,HD 154345,b,HD 154345 b,Radial Velocity,0.0,1.0,3341.55884,93.0,-93.0,0.0,4.0,4.21,0.1,-0.1,0.0,3.0,0.04,0.05,-0.05,0.0,4.0,,,,0.0,0.0,0.82,0.07,-0.07,0.0,4.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,17h02m36.41s,+47d04m54.8s,255.651688,1e-06,47.081882,1e-06,4.0,18.29,0.01,-0.01,0.0,5.0,6.76,0.0,0.0,V (Johnson),6.568,,0.0,5468.0,14.0,-14.0,0.0,5.0,0.71,0.07,-0.07,0.0,5.0,0.85,0.01,-0.01,0.0,4.0,0.0,2018-09-06,W. M. Keck Observatory,37.6634552766008,73.0222704172893,18.29,4.227753589569305,13.847607413521088,11.175597008969124,2
86,HD 160691,b,HD 160691 b,Radial Velocity,0.0,4.0,643.25,0.9,-0.9,0.0,5.0,1.497,,,0.0,5.0,0.128,0.017,-0.017,0.0,5.0,,,,0.0,0.0,1.676,,,0.0,5.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,17h44m08.70s,-51d50m02.6s,266.036255,2e-06,-51.834053,1e-06,3.0,15.61,0.03,-0.03,0.0,5.0,5.15,,0.0,V (Johnson),4.905,,0.0,,,,0.0,9.0,1.08,,,0.0,11.0,1.0676039996827908,,,0.0,4.0,0.0,2019-03-28,Anglo-Australian Telescope,-11.498141856820936,340.0606990459284,15.609999999999996,14.379754610526177,-5.216557312350053,-3.1116373741196535,4
87,HD 160691,c,HD 160691 c,Radial Velocity,0.0,4.0,4205.8,758.9,-758.9,0.0,3.0,5.235,,,0.0,3.0,0.0985,0.0627,-0.0627,0.0,3.0,,,,,0.0,1.814,,,0.0,3.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,17h44m08.70s,-51d50m02.6s,266.036255,2e-06,-51.834053,1e-06,3.0,15.61,0.03,-0.03,0.0,5.0,5.15,,0.0,V (Johnson),4.905,,0.0,,,,0.0,9.0,1.08,,,0.0,11.0,1.0676039996827908,,,0.0,4.0,1.0,2014-08-21,Anglo-Australian Telescope,-11.498141856820936,340.0606990459284,15.609999999999996,14.379754610526177,-5.216557312350053,-3.1116373741196535,4
